Date,Description,Amount,Source,Transaction_Type,Notes
2025-03-10,DoorDash Inc - Direct Deposit,$75.06,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-10,UBER USA LLC PART. PYMT,$42.88,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-03-12,DoorDash Inc San Francisco CA,$40.51,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-13,OASISBATCH PAYROLL,$358.25,Oasis/Employer,Employment Income,W-2 wages
2025-03-17,DoorDash Inc - Direct Deposit,$111.76,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-17,UBER USA LLC PART. PYMT,$11.32,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-03-20,OASISBATCH PAYROLL,$440.60,Oasis/Employer,Employment Income,W-2 wages
2025-03-24,DoorDash Inc - Direct Deposit,$121.80,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-26,DoorDash Inc San Francisco CA,$36.01,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-27,OASISBATCH PAYROLL,$138.52,Oasis/Employer,Employment Income,W-2 wages
2025-03-28,DoorDash Inc San Francisco CA,$13.51,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-28,Uber San Francisco CA,$7.14,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-03-29,Uber San Francisco CA,$3.86,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-03-29,DoorDash Inc San Francisco CA,$29.18,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-30,DoorDash Inc San Francisco CA,$30.51,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-31,UBER USA LLC PART. PYMT,$13.02,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-04-10,OASISBATCH PAYROLL,$275.90,Oasis/Employer,Employment Income,W-2 wages
2025-04-17,OASISBATCH PAYROLL,$275.90,Oasis/Employer,Employment Income,W-2 wages
2025-04-17,From Lonestarveteranscorp L.l.c,$60.00,Cash App,Business Payment,Verify with CPA - possible 1099
2025-04-20,From Lonestarveteranscorp L.l.c,$60.00,Cash App,Business Payment,Verify with CPA - possible 1099
2025-04-24,OASISBATCH PAYROLL,$358.25,Oasis/Employer,Employment Income,W-2 wages
2025-05-01,OASISBATCH PAYROLL,$358.25,Oasis/Employer,Employment Income,W-2 wages
2025-05-08,OASISBATCH PAYROLL,$358.25,Oasis/Employer,Employment Income,W-2 wages
2025-05-15,OASISBATCH PAYROLL,$358.25,Oasis/Employer,Employment Income,W-2 wages
2025-05-22,OASISBATCH PAYROLL,$513.27,Oasis/Employer,Employment Income,W-2 wages
2025-05-29,OASISBATCH PAYROLL,$391.19,Oasis/Employer,Employment Income,W-2 wages
2025-06-02,TEXAS TECH UNIV INVOICE,$3793.25,Texas Tech University,Employment Income,University W-2 wages
2025-06-05,OASISBATCH PAYROLL,$300.60,Oasis/Employer,Employment Income,W-2 wages
2025-08-17,TEXAS TECH UNIV INVOICE,$9095.25,Texas Tech University,Employment Income,University W-2 wages
2025-09-11,OASISBATCH PAYROLL,$193.94,Oasis/Employer,Employment Income,W-2 wages
2025-09-18,OASISBATCH PAYROLL,$374.72,Oasis/Employer,Employment Income,W-2 wages
2025-09-25,OASISBATCH PAYROLL,$288.25,Oasis/Employer,Employment Income,W-2 wages
2025-10-02,OASISBATCH PAYROLL,$391.19,Oasis/Employer,Employment Income,W-2 wages
2025-10-09,OASISBATCH PAYROLL,$673.97,Oasis/Employer,Employment Income,W-2 wages
2025-10-16,OASISBATCH PAYROLL,$124.67,Oasis/Employer,Employment Income,W-2 wages
2025-10-23,OASISBATCH PAYROLL,$391.19,Oasis/Employer,Employment Income,W-2 wages
2025-11-06,OASISBATCH PAYROLL,$203.17,Oasis/Employer,Employment Income,W-2 wages
2025-12-05,DoorDash Inc San Francisco CA,$64.08,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-12-06,DoorDash Inc San Francisco CA,$82.99,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-12-08,DoorDash Inc - Direct Deposit,$3.00,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-12-08,UBER USA LLC PARTNER,$4.00,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-12-29,eBay ComTGEK6YRP PAYMENTS,$152.49,eBay,Sales Revenue,eBay retail sales - Schedule C
